FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE,INGRESO_MENSUAL_CLIENTE
20200107,NCMV,LIMA,LIMA,CHORRILLOS,150108,CREDITO,BANCO,300357.96,34374.3,228,7.1,343743.0,20230811,8010.808110328007
20200107,NCMV,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,79800.0,24398.0,180,8.2,121990.0,20230811,2572.8418978867453
20200107,NCMV,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,62798.08,19990.0,120,8.3,99900.0,20230811,2573.017281702909
20200107,NCMV,LIMA,LIMA,ATE,150103,CREDITO,BANCO,162062.14,19992.0,240,7.5,199916.0,20230811,4351.8718972146435
20200107,NCMV,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,CREDITO,BANCO,97500.0,19500.0,240,10.45,130000.0,20230811,3233.8264124571742
20200107,NCMV,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,99384.62,12930.0,204,8.2,129290.0,20230811,3015.3725480915186
20200107,NCMV,CAJAMARCA,JAEN,JAEN,60801,CREDITO,BANCO,100000.0,42000.0,180,9.7,155000.0,20230811,3521.0889122575463
20200107,NCMV,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,133536.54,26802.0,120,8.3,178680.0,20230811,5471.3746846848135
20200107,NCMV,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,138213.59,38140.0,240,8.2,193500.0,20230811,3911.121678929526
20200107,NCMV,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,54461.54,34000.0,120,10.9,105240.0,20230811,2490.4275402793423
